district,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31
Mitte,348102,356506,363236,371407,377965,383457,385748,383360,385692,395599,397134
Friedrichshain-Kreuzberg,273517,275691,278393,281323,283974,289120,290386,289787,289014,293231,293454
Pankow,377532,384367,389976,397406,402289,407039,409335,410716,413168,420768,424307
Charlottenburg-Wilmersdorf,322870,326354,330468,336249,338831,341327,343592,341392,333998,341155,343081
Spandau,226868,230419,234630,239942,242143,243080,245197,245527,247396,254175,257091
Steglitz-Zehlendorf,298200,299268,299765,304086,307076,308077,310071,308840,307135,311040,310446
Tempelhof-Schöneberg,331822,335767,341161,346108,348739,351429,350984,349539,348523,353913,355868
Neukölln,322153,325716,328062,327522,329387,330786,329917,327945,327100,329476,330017
Treptow-Köpenick,245951,249440,253333,259524,264999,269775,273689,276165,280357,289180,294081
Marzahn-Hellersdorf,254226,256173,259373,262015,266684,268739,269967,273731,277639,285678,291948
Lichtenberg,264858,268465,275142,283121,286246,290493,294201,296837,299686,308286,311881
Reinickendorf,251325,254000,256617,261919,263597,264826,266408,266123,265772,268308,268792
